NAV,NAV date
11.66,01-Jan-13
11.73,02-Jan-13
11.74,03-Jan-13
11.81,04-Jan-13
11.81,07-Jan-13
11.83,08-Jan-13
11.81,09-Jan-13
11.86,10-Jan-13
11.88,11-Jan-13
12.01,14-Jan-13
12.04,15-Jan-13
11.87,16-Jan-13
11.97,17-Jan-13
12.04,18-Jan-13
12.05,21-Jan-13
11.97,22-Jan-13
11.97,23-Jan-13
11.87,24-Jan-13
12,25-Jan-13
12.01,28-Jan-13
11.97,29-Jan-13
12,30-Jan-13
12.04,31-Jan-13
12.03,01-Feb-13
11.97,04-Feb-13
11.91,05-Feb-13
11.87,06-Feb-13
11.84,07-Feb-13
11.79,08-Feb-13
11.78,11-Feb-13
11.83,12-Feb-13
11.86,13-Feb-13
11.82,14-Feb-13
11.81,15-Feb-13
11.79,18-Feb-13
11.84,19-Feb-13
11.84,20-Feb-13
11.67,21-Feb-13
11.63,22-Feb-13
11.63,25-Feb-13
11.54,26-Feb-13
11.57,27-Feb-13
11.35,28-Feb-13
11.39,01-Mar-13
11.34,04-Mar-13
11.48,05-Mar-13
11.59,06-Mar-13
11.65,07-Mar-13
11.76,08-Mar-13
11.72,11-Mar-13
11.68,12-Mar-13
11.52,13-Mar-13
11.65,14-Mar-13
11.6,15-Mar-13
11.54,18-Mar-13
11.41,19-Mar-13
11.27,20-Mar-13
11.21,21-Mar-13
11.17,22-Mar-13
11.15,25-Mar-13
11.17,26-Mar-13
11.28,28-Mar-13
11.32,01-Apr-13
11.42,02-Apr-13
11.36,03-Apr-13
11.22,04-Apr-13
11.24,05-Apr-13
0,07-Apr-13
11.22,08-Apr-13
11.12,09-Apr-13
11.17,10-Apr-13
11.25,11-Apr-13
11.1,12-Apr-13
11.2,15-Apr-13
11.35,16-Apr-13
11.38,17-Apr-13
11.52,18-Apr-13
11.61,22-Apr-13
11.59,23-Apr-13
11.71,25-Apr-13
11.66,26-Apr-13
11.72,29-Apr-13
11.82,30-Apr-13
11.91,02-May-13
11.77,03-May-13
11.8,06-May-13
11.89,07-May-13
11.94,08-May-13
11.97,09-May-13
12.05,10-May-13
11.91,13-May-13
11.96,14-May-13
12.2,15-May-13
12.21,16-May-13
12.24,17-May-13
12.2,20-May-13
12.11,21-May-13
12.06,22-May-13
11.84,23-May-13
11.88,24-May-13
12,27-May-13
12.1,28-May-13
12.07,29-May-13
12.08,30-May-13
11.92,31-May-13
11.87,03-Jun-13
11.84,04-Jun-13
11.85,05-Jun-13
11.86,06-Jun-13
11.83,07-Jun-13
11.8,10-Jun-13
11.62,11-Jun-13
11.58,12-Jun-13
11.49,13-Jun-13
11.66,14-Jun-13
11.72,17-Jun-13
11.66,18-Jun-13
11.65,19-Jun-13
11.41,20-Jun-13
11.43,21-Jun-13
11.25,24-Jun-13
11.22,25-Jun-13
11.23,26-Jun-13
11.38,27-Jun-13
11.59,28-Jun-13
11.72,01-Jul-13
11.61,02-Jul-13
11.48,03-Jul-13
11.57,04-Jul-13
11.61,05-Jul-13
11.49,08-Jul-13
11.55,09-Jul-13
11.51,10-Jul-13
11.65,11-Jul-13
11.8,12-Jul-13
11.85,15-Jul-13
11.64,16-Jul-13
11.64,17-Jul-13
11.73,18-Jul-13
11.69,19-Jul-13
11.65,22-Jul-13
11.7,23-Jul-13
11.57,24-Jul-13
11.51,25-Jul-13
11.46,26-Jul-13
11.33,29-Jul-13
11.18,30-Jul-13
11.18,31-Jul-13
11.18,01-Aug-13
11.11,02-Aug-13
11.12,05-Aug-13
10.86,06-Aug-13
10.85,07-Aug-13
10.91,08-Aug-13
10.95,12-Aug-13
11.11,13-Aug-13
11.2,14-Aug-13
10.82,16-Aug-13
10.63,19-Aug-13
10.6,20-Aug-13
10.41,21-Aug-13
10.52,22-Aug-13
10.58,23-Aug-13
10.64,26-Aug-13
10.33,27-Aug-13
10.27,28-Aug-13
10.5,29-Aug-13
10.67,30-Aug-13
10.81,02-Sep-13
10.47,03-Sep-13
10.64,04-Sep-13
10.83,05-Sep-13
10.95,06-Sep-13
11.36,10-Sep-13
11.4,11-Sep-13
11.31,12-Sep-13
11.25,13-Sep-13
11.24,16-Sep-13
11.26,17-Sep-13
11.35,18-Sep-13
11.68,19-Sep-13
11.54,20-Sep-13
11.39,23-Sep-13
11.45,24-Sep-13
11.42,25-Sep-13
11.45,26-Sep-13
11.41,27-Sep-13
11.23,30-Sep-13
11.34,01-Oct-13
11.56,03-Oct-13
11.58,04-Oct-13
11.62,07-Oct-13
11.67,08-Oct-13
11.82,09-Oct-13
11.88,10-Oct-13
12,11-Oct-13
12.02,14-Oct-13
11.96,15-Oct-13
11.86,17-Oct-13
12.07,18-Oct-13
12.1,21-Oct-13
12.07,22-Oct-13
12.02,23-Oct-13
12.01,24-Oct-13
11.97,25-Oct-13
11.87,28-Oct-13
12.06,29-Oct-13
12.14,30-Oct-13
12.16,31-Oct-13
12.17,01-Nov-13
12.09,05-Nov-13
12.06,06-Nov-13
12,07-Nov-13
11.94,08-Nov-13
11.89,11-Nov-13
11.83,12-Nov-13
11.8,13-Nov-13
11.92,14-Nov-13
12.15,18-Nov-13
12.13,19-Nov-13
11.99,20-Nov-13
11.76,21-Nov-13
11.78,22-Nov-13
11.95,25-Nov-13
11.91,26-Nov-13
11.92,27-Nov-13
11.95,28-Nov-13
12.06,29-Nov-13
12.16,02-Dec-13
12.12,03-Dec-13
12.03,04-Dec-13
12.09,05-Dec-13
12.08,06-Dec-13
12.22,09-Dec-13
12.19,10-Dec-13
12.15,11-Dec-13
12.07,12-Dec-13
11.97,13-Dec-13
11.93,16-Dec-13
11.93,17-Dec-13
12.05,18-Dec-13
12,19-Dec-13
12.18,20-Dec-13
12.17,23-Dec-13
12.13,24-Dec-13
12.12,26-Dec-13
12.2,27-Dec-13
12.16,30-Dec-13
12.18,31-Dec-13
12.16,01-Jan-14
12.04,02-Jan-14
12.09,03-Jan-14
12.06,06-Jan-14
12.01,07-Jan-14
12.03,08-Jan-14
12.01,09-Jan-14
12.04,10-Jan-14
12.2,13-Jan-14
12.17,14-Jan-14
12.29,15-Jan-14
12.2,16-Jan-14
12.08,17-Jan-14
12.15,20-Jan-14
12.1,21-Jan-14
12.12,22-Jan-14
12.07,23-Jan-14
11.95,24-Jan-14
11.71,27-Jan-14
11.7,28-Jan-14
11.67,29-Jan-14
11.58,30-Jan-14
11.62,31-Jan-14
11.53,03-Feb-14
11.49,04-Feb-14
11.55,05-Feb-14
11.57,06-Feb-14
11.6,07-Feb-14
11.57,10-Feb-14
11.57,11-Feb-14
11.6,12-Feb-14
11.5,13-Feb-14
11.56,14-Feb-14
11.63,17-Feb-14
11.76,18-Feb-14
11.86,19-Feb-14
11.76,20-Feb-14
11.83,21-Feb-14
11.89,24-Feb-14
11.93,25-Feb-14
12.03,26-Feb-14
12.13,28-Feb-14
12.01,03-Mar-14
12.1,04-Mar-14
12.18,05-Mar-14
12.28,06-Mar-14
12.37,07-Mar-14
12.35,10-Mar-14
12.34,11-Mar-14
12.39,12-Mar-14
12.37,13-Mar-14
12.35,14-Mar-14
12.37,18-Mar-14
12.38,19-Mar-14
12.3,20-Mar-14
12.35,21-Mar-14
12.47,24-Mar-14
12.47,25-Mar-14
12.41,26-Mar-14
12.5,27-Mar-14
12.59,28-Mar-14
12.64,31-Mar-14
12.62,01-Apr-14
12.67,02-Apr-14
12.69,03-Apr-14
